City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Scaggsville / Laurel,20723,7-Eleven,"9651 Washington Blvd N, 20723",3.99,7-Eleven,42.739557,-83.0334814,3.96
Scaggsville / Laurel,20723,Weis,"9250 Washington Blvd N, 20723",4.05,-,42.739557,-83.0334814,4.05
Scaggsville / Laurel,20723,Exxon,"8850 Gorman Rd, 20723",4.39,Exxon,39.1315805,-76.8205188,4.36
Scaggsville / Laurel,20723,Exxon,"7500 Montpelier Rd, 20723",4.49,Exxon,39.159558,-76.893227,4.46
Columbia (Town Center),21044,Sunoco,"6440 Freetown Rd, 21044",4.59,Sunoco,39.1950229,-76.8817831,4.56
Columbia (Town Center),21044,Exxon,"10141 Little Patuxent Pkwy, 21044",4.79,Exxon,39.2181995,-76.8577067,4.76
Columbia (Town Center),21044,BP,"5485 HARPERS FARM RD, 21044",4.49,BP,39.2220799,-76.8907487,4.44
Columbia (East),21045,7-Eleven,"5901 Stevens Forest Rd, 21045",4.07,7-Eleven,39.210533,-76.847772,4.04
Columbia (East),21045,7-Eleven,"8251 Snowden River Pkwy, 21045",4.08,7-Eleven,39.2090716,-76.8034905,4.05
Columbia (East),21045,Shell,"7248 Cradlerock Way, 21045",4.09,Shell,39.1862523,-76.8457193,4.04
Columbia (East),21045,Exxon,"7100 Minstrel Way, 21045",4.09,Exxon,39.177736,-76.84448,4.06
Columbia (South),21046,Royal Farms,"7084 Minstrel Way, 21046",3.99,Royal Farms,39.1759477,-76.8444624,3.89
Columbia (South),21046,Exxon,"6300 Stevens Forest, 21046",4.09,Exxon,39.1973061,-76.8530941,4.06
Columbia (South),21046,Shell,"9101 Snowden River Pkwy, 21046",4.09,Shell,39.1827983,-76.8205935,4.04
Columbia (South),21046,Exxon,"7201 Eden Brook Dr, 21046",4.39,Exxon,39.1698781,-76.8656991,4.36
Ellicott City (West),21042,Dash-In,"9075 Baltimore National Pike, 21042",4.09,-,39.2762251,-76.8250029,4.09
Ellicott City (West),21042,Mobil,"9320 Baltimore National Pike, 21042",4.05,Mobil,39.2779163,-76.8325436,4.02
Ellicott City (West),21042,Sunoco,"10214 Baltimore National Pike, 21042",4.19,Sunoco,39.2803307,-76.8652201,4.16
Ellicott City (West),21042,Exxon,"10193 Baltimore National Pike, 21042",4.23,Exxon,39.2793591,-76.8636316,4.2
Ellicott City (West),21042,Shell,"4755 Dorsey Hall Dr, 21042",4.25,Shell,39.2423537,-76.8403131,4.2
Ellicott City (East),21043,Carroll Motor Fuels,"4132 Old Columbia Pike, 21043",4.01,-,39.2565046,-76.8197592,4.01
Ellicott City (East),21043,Dash In,"4205 Montgomery Rd, 21043",4.09,-,39.2561283,-76.8190081,4.09
Ellicott City (East),21043,High's,"3095 Rogers Ave, 21043",4.07,High's,39.2874075,-76.8091156,4.02
Ellicott City (East),21043,BP,"8505 Baltimore National Pike, 21043",4.09,BP,39.2842309,-76.8075056,4.04
Ellicott City (East),21043,Exxon,"8850 Centre Park Dr, 21043",4.19,Exxon,39.2279074,-76.8127674,4.16
Ellicott City (East),21043,Shell,"64 Frederick Rd, 21043",4.09,Shell,39.2654947,-76.7906258,4.04
Ellicott City (East),21043,Carroll Motor Fuels,"8720 Baltimore National Pike, 21043",4.15,-,39.2808054,-76.8147058,4.15
Ellicott City (East),21043,Mobil,"4398 Montgomery Rd, 21043",4.09,Mobil,39.2520755,-76.8165282,4.06
Ellicott City (East),21043,Shell,"5651 Waterloo Rd, 21043",4.34,Shell,39.2170938,-76.806013,4.29
Ellicott City (East),21043,Exxon,"4235 Montgomery Rd, 21043",4.03,Exxon,39.2554156,-76.8184372,4.0
